sampling_date,depth,CSC_flag,salinity,temperature,HCO3,CO3,pH_insi,ta,dic,OmegaCalcite,OmegaAragonite,pCO2,fCO2
2021-11-23,1,15,38.118,17.799,0.00201418226743022,2.1143891385357784e-4,8.09687438533626,2536.7572499999997,2239.19775,4.9326161874765,3.1985079855496803,401.8816155681611,400.4800461540986
2021-11-23,50,15,38.119,17.79,0.00200837535183047,2.1746894204953372e-4,8.094931861750927,2545.7090399999997,2238.9476999999997,5.032181750939676,3.26488935118815,387.7775645201164,386.42505207431776
2021-12-07,1,15,38.135,16.374,0.00203708709581869,2.0435557506468273e-4,8.096295860339284,2542.708439999999,2255.50101,4.765359668498521,3.0796330887011396,399.3200849684381,397.90230415371855
2021-12-07,50,15,38.144,16.366,0.00202276534031831,2.115650658541695e-4,8.099875600880031,2546.30916,2247.69945,4.892251811925881,3.1634331228963135,379.6706171028876,378.3224949560252
2021-12-14,1,15,38.077,15.72,0.00200856449635091,2.1673506328078303e-4,8.102527026527522,2545.0589099999997,2238.04752,5.055932117956841,3.262451117160768,355.0496487705191,353.7786688693319
2021-12-14,50,15,38.126,15.462,0.0020321627551844,2.0511346437943704e-4,8.09896455680217,2540.45799,2251.00011,4.742776347993466,3.0604781405257775,379.4057668116765,378.043126048617
2021-12-21,1,15,38,14.982,0.00204236124846783,2.032036369704455e-4,8.113355658847356,2545.60902,2259.4518,4.742881160399643,3.055326329544383,378.15597006763255,376.7895423803947
2021-12-21,50,15,38,15.144,0.00201934166440222,2.174614227920051e-4,8.110094635473583,2557.5114000000003,2249.49981,5.032749256981118,3.2451001018620795,347.4355433972799,346.182736814162
2022-01-11,1,15,38.1173,14.8824,0.00203427437890015,2.08121578077241e-4,8.111850844561522,2549.7598500000004,2255.8510799999995,4.8534663471754955,3.12608193694552,365.5385067991675,364.2160209777555
2022-01-11,50,15,38.1118,14.8961,0.00204513950969113,2.0008724689850297e-4,8.11121911285381,2541.2081399999997,2259.35178,4.626670892013174,2.981827420212171,383.8847832794741,382.49613539604434
2022-01-18,1,15,38.1164,14.5519,0.00205970995343602,1.9017163591253893e-4,8.112211439141946,2531.5562099999997,2264.90289,4.434962326042586,2.8544927404945155,404.0219654914996,402.5540465200956
2022-01-18,50,15,38.1481,14.5081,0.00204383315240162,2.0743362040989005e-4,8.10421428735387,2557.76145,2264.8028699999995,4.79508664129797,3.0878485534500526,363.6555437793088,362.33361045528784
2022-01-25,1,15,38.1287,14.1934,0.00205013917647226,2.040665456188051e-4,8.110956045746534,2555.76105,2268.0035100000005,4.75871184784569,3.0605601206779083,367.1080727544331,365.7682374810772
2022-01-25,50,15,38.1447,14.2755,0.00203573665128999,2.110633161658217e-4,8.111482111515862,2558.76165,2259.9519,4.879046644926197,3.1403606976960665,350.83416010584705,349.55507823848586
2022-02-01,1,15,38.1524,14.158,0.00203881704442779,2.0682301566323988e-4,8.110120311532373,2551.5101999999997,2259.1017300000003,4.822173012887326,3.1011810538309703,357.8255056099216,356.5189743021118
2022-02-01,50,15,38.1475,14.1819,0.00204070002962733,2.1094720220975107e-4,8.1086719157145275,2563.3125600000003,2264.8528800000004,4.876243256682619,3.137942323908468,351.2670569054134,349.98487145652285
2022-02-08,1,15,38.1502,14.1643,0.00204569831597248,2.084579030174658e-4,8.11559594213468,2562.0123000000003,2267.60343,4.860366100288401,3.125781313956264,357.5056102528131,356.2003520069447
2022-02-08,50,15,38.1598,14.1535,0.0020283330628502,2.1012300670868005e-4,8.116598738582148,2549.5098,2251.55022,4.856749416847367,3.1252304307050474,348.0230221770648,346.75222371364237
2022-02-15,1,15,38.2096,13.883,0.00207256491999642,2.0564751810796936e-4,8.107595233231713,2581.41618,2292.15834,4.792927343666263,3.0806896744122207,367.70376939692943,366.3564490579562
2022-02-15,50,15,38.2241,13.9635,0.00205964083445884,2.0242521048484548e-4,8.100087266541705,2561.46219,2276.05512,4.676608370786462,3.008212054286287,369.78501985532984,368.4314580468042
2022-02-22,1,15,38.1949,13.8546,0.00204967295171546,2.0098264921442e-4,8.106017376678707,2548.25955,2264.60283,4.684726229342935,3.0109441620278927,367.38752159856824,366.04087368174254
2022-02-22,50,15,38.2006,13.854,0.00204583859637128,2.1041301850429492e-4,8.10490557641809,2567.26335,2269.50381,4.861982376719477,3.1267078803849113,349.08419802492693,347.80465628144765
2022-03-02,1,15,38.2085,13.769,0.00204332481700055,2.129081352133844e-4,8.108565807265578,2570.66403,2269.3037699999995,4.962270222260198,3.1887822479675623,343.4225554601721,342.16241055261474
