"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1997-07-30;07:00:00;0;25.888;37.907;"07";"1997";"1997-07"
1997-08-13;07:00:00;50;15.831;37.912;"08";"1997";"1997-08"
1997-08-13;07:00:00;0;25.638;37.943;"08";"1997";"1997-08"
1997-08-20;07:00:00;50;15.116;37.926;"08";"1997";"1997-08"
1997-08-20;07:00:00;0;24.985;37.909;"08";"1997";"1997-08"
1997-08-27;07:00:00;50;16;37.864;"08";"1997";"1997-08"
1997-08-27;07:00:00;0;24.919;37.927;"08";"1997";"1997-08"
1997-09-03;07:00:00;50;15.434;37.9;"09";"1997";"1997-09"
1997-09-03;07:00:00;0;23.7;37.831;"09";"1997";"1997-09"
1997-09-10;07:00:00;50;16.189;37.829;"09";"1997";"1997-09"
1997-09-10;07:00:00;0;24.698;37.871;"09";"1997";"1997-09"
1997-09-17;07:00:00;50;18.128;37.789;"09";"1997";"1997-09"
1997-09-17;07:00:00;0;23.68;38.03;"09";"1997";"1997-09"
1997-09-24;07:00:00;50;15.608;37.871;"09";"1997";"1997-09"
1997-09-24;07:00:00;0;23.037;38.093;"09";"1997";"1997-09"
1997-10-01;07:00:00;50;16.532;37.828;"10";"1997";"1997-10"
1997-10-01;07:00:00;0;22.979;38.142;"10";"1997";"1997-10"
1997-10-03;07:00:00;50;16.628;37.824;"10";"1997";"1997-10"
1997-10-03;07:00:00;0;22.811;38.159;"10";"1997";"1997-10"
1997-10-07;07:00:00;50;17.933;37.815;"10";"1997";"1997-10"
1997-10-07;07:00:00;0;22.702;38.167;"10";"1997";"1997-10"
1997-10-08;07:00:00;50;18.018;37.835;"10";"1997";"1997-10"
1997-10-08;07:00:00;0;22.58;38.164;"10";"1997";"1997-10"
1997-10-15;07:00:00;50;15.199;37.916;"10";"1997";"1997-10"
1997-10-15;07:00:00;0;21.444;38.026;"10";"1997";"1997-10"
1997-10-22;07:00:00;50;19.436;37.97;"10";"1997";"1997-10"
1997-10-22;07:00:00;0;21.096;38.017;"10";"1997";"1997-10"
1997-10-30;08:00:00;50;19.1;38.046;"10";"1997";"1997-10"
1997-10-30;08:00:00;0;19.463;38.053;"10";"1997";"1997-10"
1997-11-05;08:00:00;50;18.265;38.056;"11";"1997";"1997-11"
1997-11-05;08:00:00;0;18.347;38.055;"11";"1997";"1997-11"
1997-11-13;08:00:00;50;17.478;38.045;"11";"1997";"1997-11"
1997-11-13;08:00:00;0;17.466;37.836;"11";"1997";"1997-11"
1997-11-19;08:00:00;50;17.525;37.928;"11";"1997";"1997-11"
1997-11-19;08:00:00;0;17.524;37.923;"11";"1997";"1997-11"
1997-11-26;08:00:00;50;16.991;37.97;"11";"1997";"1997-11"
1997-11-26;08:00:00;0;16.964;37.946;"11";"1997";"1997-11"
1997-12-04;08:00:00;50;16.407;37.969;"12";"1997";"1997-12"
1997-12-04;08:00:00;0;16.401;37.968;"12";"1997";"1997-12"
1997-12-10;08:00:00;50;16.237;37.941;"12";"1997";"1997-12"
1997-12-10;08:00:00;0;16.229;37.946;"12";"1997";"1997-12"
1997-12-17;08:00:00;50;15.809;37.934;"12";"1997";"1997-12"
1997-12-17;08:00:00;0;15.776;37.93;"12";"1997";"1997-12"
1997-12-23;08:00:00;50;15.431;37.903;"12";"1997";"1997-12"
1997-12-23;08:00:00;0;15.017;37.362;"12";"1997";"1997-12"
1997-12-30;08:00:00;50;15.287;37.824;"12";"1997";"1997-12"
1997-12-30;08:00:00;0;15.289;37.826;"12";"1997";"1997-12"
1998-01-07;08:00:00;50;15.139;37.853;"01";"1998";"1998-01"
1998-01-07;08:00:00;0;15.125;37.847;"01";"1998";"1998-01"
1998-01-14;08:00:00;0;14.777;37.74;"01";"1998";"1998-01"
1998-01-14;08:00:00;50;14.867;37.778;"01";"1998";"1998-01"
1998-01-21;08:00:00;0;14.486;37.876;"01";"1998";"1998-01"
1998-01-21;08:00:00;50;14.484;37.877;"01";"1998";"1998-01"
1998-01-28;08:00:00;0;14.217;37.916;"01";"1998";"1998-01"
1998-01-28;08:00:00;50;14.252;37.921;"01";"1998";"1998-01"
1998-02-04;08:00:00;0;14.137;37.919;"02";"1998";"1998-02"
1998-02-04;08:00:00;50;14.145;37.929;"02";"1998";"1998-02"
1998-02-11;08:00:00;0;13.935;37.924;"02";"1998";"1998-02"
1998-02-11;08:00:00;50;13.93;37.931;"02";"1998";"1998-02"
1998-02-18;08:00:00;0;13.887;37.802;"02";"1998";"1998-02"
1998-02-18;08:00:00;50;13.916;37.921;"02";"1998";"1998-02"
1998-02-25;08:00:00;0;13.991;37.878;"02";"1998";"1998-02"
1998-02-25;08:00:00;50;13.993;37.881;"02";"1998";"1998-02"
