"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg";"year";"month";"year.month";"AOU";"OSAT";"neg_AOU";"mean_AOU"
2011-11-22 09:00:00;1;17.81;38.134;5.34;232.051387276295;2011;"11";"2011-11";-2.38081246593623;229.670574810359;2.38081246593623;-10.3368729174447
2011-11-29 09:00:00;1;17.7209755114108;38.081;5.42;235.532043963423;2011;"11";"2011-11";-5.39450785029413;230.137536113129;5.39450785029413;-10.3368729174447
2011-12-06 09:00:00;1;17.283;38.0895;5.34;232.029625112164;2011;"12";"2011-12";0.00578480644549018;232.03540991861;-0.00578480644549018;-10.3368729174447
2011-12-13 09:00:00;1;15.341;38.098;5.38166666666667;233.733943331856;2011;"12";"2011-12";7.14303875850763;240.876982090364;-7.14303875850763;-10.3368729174447
2011-12-19 09:00:00;1;15.341;38.08;5.42333333333333;235.546772065576;2011;"12";"2011-12";5.35997381233423;240.90674587791;-5.35997381233423;-10.3368729174447
2011-12-27 09:00:00;1;15.2319893973233;38.082;5.465;237.350351912032;2011;"12";"2011-12";4.06948961998248;241.419841532014;-4.06948961998248;-10.3368729174447
2011-12-27 09:00:00;1;15.0737428841136;38.084;5.50666666666667;239.151273286698;2011;"12";"2011-12";3.0186661865315;242.16993947323;-3.0186661865315;-10.3368729174447
2012-01-03 09:00:00;1;15.2303110155049;38.086;5.54833333333333;240.96878789256;2012;"01";"2012-01";0.45238726386205;241.421175156422;-0.45238726386205;-12.5250084210117
2012-01-10 09:00:00;1;15.11;38.088;5.59;242.771597380346;2012;"01";"2012-01";-0.781331092609832;241.990266287736;0.781331092609832;-12.5250084210117
2012-01-17 09:00:00;1;14.801;38.102;5.53;240.147060551374;2012;"01";"2012-01";3.30184388351009;243.448904434884;-3.30184388351009;-12.5250084210117
2012-01-24 09:00:00;1;14.557;38.111;5.505;239.047168728359;2012;"01";"2012-01";5.56906592815679;244.616234656516;-5.56906592815679;-12.5250084210117
2012-01-31 09:00:00;1;14.365;38.088;5.48;237.955897631192;2012;"01";"2012-01";7.63754367455715;245.593441305749;-7.63754367455715;-12.5250084210117
2012-02-07 09:00:00;1;13.7067394591263;38.152;5.53;240.082170574761;2012;"02";"2012-02";8.67073017997851;248.752900754739;-8.67073017997851;-12.5250084210117
2012-02-14 09:00:00;1;13.15;38.216;5.56;241.345378650272;2012;"02";"2012-02";10.1247656364218;251.470144286694;-10.1247656364218;-12.5250084210117
2012-02-21 09:00:00;1;13.407;38.15;5.69;247.013581026872;2012;"02";"2012-02";3.2585307055345;250.272111732407;-3.2585307055345;-12.5250084210117
2012-02-28 09:00:00;1;13.469;38.172;5.85;253.958503794226;2012;"02";"2012-02";-4.03958690146985;249.918916892756;4.03958690146985;-12.5250084210117
2012-03-06 09:00:00;1;13.389;38.125;5.89;255.69983125906;2012;"03";"2012-03";-5.29259583450016;250.40723542456;5.29259583450016;-12.5250084210117
2012-03-13 09:00:00;1;13.3104878088528;38.1375;5.96;258.732117021602;2012;"03";"2012-03";-7.94638826043047;250.785728761172;7.94638826043047;-12.5250084210117
2012-03-20 09:00:00;1;13.467;38.15;6.05;262.645092096195;2012;"03";"2012-03";-12.6778011520401;249.967290944155;12.6778011520401;-12.5250084210117
2012-03-27 09:00:00;1;14.279;38.139;6.14;266.599704354986;2012;"03";"2012-03";-20.6704447803386;245.929259574647;20.6704447803386;-12.5250084210117
2012-04-03 09:00:00;1;15.237;38.13;6.14;266.656955664158;2012;"04";"2012-04";-25.3404758148521;241.316479849306;25.3404758148521;-12.5250084210117
