"datetime";"depth";"temperature";"salinity"
1998-11-25;"0";15.061;38.126
1998-11-25;"50";14.916;38.126
1998-12-02;"0";14.948;38.106
1998-12-02;"50";14.789;38.123
1998-12-09;"0";14.665;38.145
1998-12-09;"50";14.677;38.145
1998-12-16;"0";14.595;38.142
1998-12-16;"50";14.61;38.144
1998-12-23;"0";14.369;38.125
1998-12-23;"50";14.402;38.128
1999-01-06;"0";13.848;38.097
1999-01-06;"50";13.856;38.098
1999-01-13;"0";13.63;38.066
1999-01-13;"50";13.622;38.067
1999-01-20;"0";13.565;38.062
1999-01-20;"50";13.571;38.07
1999-01-27;"0";13.565;38.036
1999-01-27;"50";13.57;38.036
1999-02-03;"0";13.423;38.024
1999-02-03;"50";13.412;38.041
1999-02-10;"0";13.089;38.101
1999-02-10;"50";13.092;38.101
1999-02-11;"0";13.092;38.101
1999-02-11;"50";13.089;38.101
1999-02-16;"0";12.976;38.116
1999-02-16;"50";12.988;38.115
1999-02-19;"0";12.988;38.115
1999-02-19;"50";12.976;38.116
1999-02-24;"0";12.861;38.159
1999-02-24;"50";12.859;38.16
1999-03-03;"0";13.189;38.154
1999-03-03;"50";12.99;38.149
1999-03-10;"0";12.896;38.165
1999-03-10;"50";12.856;38.146
1999-03-29;"0";13.555;38.014
1999-03-29;"50";13.106;38.065
1999-04-01;"0";13.496;37.867
1999-04-01;"50";13.094;38.051
1999-04-07;"0";14.129;37.965
1999-04-07;"50";13.191;38.092
1999-04-14;"0";13.715;38.098
1999-04-14;"50";13.433;38.104
1999-04-21;"0";13.881;38.068
1999-04-21;"50";13.484;38.125
1999-04-28;"0";14.435;37.91
1999-04-28;"50";14.33;37.955
1999-05-05;"0";15.582;37.538
1999-05-05;"50";14.416;38.019
1999-05-11;"0";16.583;37.537
1999-05-11;"50";13.778;38.136
1999-05-18;"0";18.316;37.732
1999-05-18;"50";15.423;38.008
1999-05-26;"0";19.577;37.738
1999-05-26;"50";14.005;38.112
1999-06-02;"0";20.72;37.863
1999-06-02;"50";14.84;38.099
1999-06-09;"0";21.23;37.928
1999-06-09;"50";14.827;38.133
1999-06-16;"0";22.291;37.4
1999-06-16;"50";16.011;38.065
1999-06-23;"0";22.36;37.711
1999-06-23;"50";15.365;38.101
1999-07-01;"0";23.524;38.12
1999-07-01;"50";14.9;38.119
1999-07-07;"0";23.85;38.181
1999-07-07;"50";14.379;38.13
1999-07-15;"0";24.054;38.111
1999-07-15;"50";15.174;38.115
1999-07-21;"0";25.304;38.096
1999-07-21;"50";14.855;38.113
1999-07-28;"0";24.585;38.199
1999-07-28;"50";14.328;38.137
1999-08-04;"0";25.07;38.236
1999-08-04;"50";14.466;38.114
1999-08-11;"0";24.699;38.216
1999-08-11;"50";16.921;38.074
1999-08-18;"0";25.047;38.25
1999-08-18;"50";15.435;38.105
1999-08-25;"0";25.946;38.316
1999-08-25;"50";15.591;38.097
1999-09-01;"0";25.46;38.329
1999-09-01;"50";15.459;38.098
1999-09-08;"0";24.675;38.332
1999-09-08;"50";15.846;38.084
1999-09-16;"0";24.138;38.327
1999-09-16;"50";16.514;38.059
1999-09-22;"0";23.326;38.109
1999-09-22;"50";18.08;38.089
1999-09-29;"0";22.9;38.23
1999-09-29;"50";15.896;38.095
1999-10-06;"0";22.304;38.272
1999-10-06;"50";22.207;38.264
1999-10-13;"0";21.878;38.231
1999-10-13;"50";16.543;38.114
1999-10-20;"0";20.966;38.244
1999-10-20;"50";20.853;38.237
1999-10-27;"0";19.396;37.247
1999-10-27;"50";19.611;38.18
1999-11-03;"0";20.205;37.507
1999-11-03;"50";20.172;37.943
1999-11-10;"0";19.664;38.056
1999-11-10;"50";19.095;38.109
1999-11-18;"0";18.179;38.037
1999-11-18;"50";18.088;38.055
1999-11-24;"0";17.138;38.061
1999-11-24;"50";16.585;38.098
1999-12-01;"0";16.334;38.104
1999-12-01;"50";16.337;38.105
1999-12-08;"0";15.858;38.086
1999-12-08;"50";15.861;38.087
1999-12-17;"0";15.082;38.079
1999-12-17;"50";15.098;38.081
1999-12-22;"0";14.772;38.079
1999-12-22;"50";14.798;38.083
1999-12-30;"0";13.706;38.194
1999-12-30;"50";13.713;38.2
2000-01-05;"0";13.674;38.15
2000-01-05;"50";13.699;38.149
2000-01-12;"0";13.673;38.112
2000-01-12;"50";13.68;38.111
2000-01-19;"0";13.483;38.135
2000-01-19;"50";13.483;38.136
2000-01-26;"0";13.278;38.155
2000-01-26;"50";13.277;38.168
2000-02-02;"0";13.171;38.173
2000-02-02;"50";13.139;38.172
2000-02-09;"0";13.184;38.155
2000-02-09;"50";13.177;38.154
2000-02-18;"0";13.082;38.154
2000-02-18;"50";13.085;38.155
2000-02-23;"0";13.022;38.15
2000-02-23;"50";13.033;38.149
2000-03-02;"0";13.014;38.156
2000-03-02;"50";13.051;38.174
2000-03-09;"0";13.446;38.174
2000-03-09;"50";13.04;38.161
2000-03-15;"0";13.685;38.125
2000-03-15;"50";13.158;38.162
2000-03-22;"0";13.618;38.153
2000-03-22;"50";13.401;38.153
2000-03-29;"0";13.422;38.088
2000-03-29;"50";13.437;38.111
2000-04-06;"0";13.405;38.064
2000-04-06;"50";13.402;38.081
2000-04-14;"0";13.668;37.871
2000-04-14;"50";13.327;38.114
2000-04-19;"0";13.827;37.874
2000-04-19;"50";13.412;38.071
2000-04-26;"0";15.292;37.773
2000-04-26;"50";13.513;38.04
2000-05-03;"0";16.518;37.77
2000-05-03;"50";13.757;38.112
2000-05-10;"0";16.842;37.742
2000-05-10;"50";15.994;37.981
2000-05-16;"0";18.544;37.834
2000-05-16;"50";14.375;38.109
2000-05-24;"0";19.412;38.031
2000-05-24;"50";14.814;38.095
2000-05-30;"0";17.5;38.025
2000-05-30;"50";14.572;38.107
2000-06-07;"0";21.604;38.056
2000-06-07;"50";15.414;38.086
2000-06-14;"0";22.427;37.886
2000-06-14;"50";14.854;38.092
2000-06-21;"0";23.552;37.773
2000-06-21;"50";14.607;38.097
2000-06-28;"0";24.106;37.944
2000-06-28;"50";14.888;38.09
2000-07-05;"0";23.383;38.096
2000-07-05;"50";14.644;38.095
2000-07-13;"0";18.548;38.084
2000-07-13;"50";14.269;38.102
2000-07-19;"0";22.53;38.149
2000-07-19;"50";14.187;38.119
2000-07-26;"0";22.675;38.153
2000-07-26;"50";15.326;38.067
2000-08-02;"0";23.81;38.199
2000-08-02;"50";14.105;38.442
2000-08-16;"0";25.01;38.196
2000-08-16;"50";14.672;38.096
2000-08-23;"0";25.612;38.211
2000-08-23;"50";14.915;38.056
2000-08-30;"0";25.516;38.271
2000-08-30;"50";15.658;38.042
2000-09-13;"0";24.058;38.282
2000-09-13;"50";14.497;38.061
