"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg"
2005-02-08 09:00:00;50;13.295;38.169;5.52;239.624640452314
2005-02-08 09:00:00;1;13.295;38.169;5.65;245.26797437601
2005-02-15 09:00:00;50;13.227;38.197;5.52;239.616261918849
2005-02-15 09:00:00;1;13.212;38.199;5.51;239.181084017778
2005-02-23 09:00:00;50;13.161;38.241;5.49;238.302896895588
2005-02-23 09:00:00;1;13.023;38.193;5.58;242.211508888048
2005-03-01 09:00:00;50;12.992;38.26;5.48;237.857292785281
2005-03-01 09:00:00;1;12.972;38.263;5.45;236.553666314569
2005-03-07 09:00:00;50;12.809;38.24;5.48;237.85215081724
2005-03-07 09:00:00;1;12.805;38.24;5.59;242.626361473359
2005-03-15 09:00:00;50;12.835;38.256;5.43;235.680345949689
2005-03-15 09:00:00;1;13.041;38.252;5.75;249.580511295341
2005-03-22 09:00:00;50;12.827;38.265;5.41;234.810307921018
2005-03-22 09:00:00;1;14.124;38.23;6.18;268.309313061179
2005-03-29 09:00:00;50;13.417;38.256;5.62;243.955760105501
2005-03-29 09:00:00;1;14.26;38.182;6;260.511403571806
2005-04-05 09:00:00;50;13.743;38.179;5.9;256.142257131638
2005-04-05 09:00:00;1;13.949;38.147;5.93;257.461963550877
2005-04-12 09:00:00;50;13.566;38.181;5.77;250.488875400243
2005-04-12 09:00:00;1;13.714;38.165;5.77;250.499575145564
2005-04-19 09:00:00;50;13.483;38.188;NA;NA
2005-04-19 09:00:00;1;14.038;38.133;NA;NA
2005-04-26 09:00:00;50;13.851;38.155;5.73;248.771986727227
2005-04-26 09:00:00;1;14.269;38.103;5.84;253.579987758129
2005-05-03 09:00:00;50;14.164;38.115;5.71;247.927464244612
2005-05-03 09:00:00;1;16.941;37.967;5.65;245.502080285021
2005-05-10 09:00:00;50;14.516;38.04;5.62;244.051763645591
2005-05-10 09:00:00;1;17.779;37.72;5.8;252.11688687153
2005-05-17 09:00:00;50;14.69;38.167;5.73;248.814159990605
2005-05-17 09:00:00;1;18.206;37.846;5.51;239.513497592026
2005-05-24 09:00:00;50;14.658;38.106;5.76;250.12658785027
2005-05-24 09:00:00;1;18.751;37.815;5.64;245.203321613797
2005-05-31 09:00:00;50;14.406;38.159;5.75;249.668858475066
2005-05-31 09:00:00;1;20.803;37.985;5.42;235.73418584862
2005-06-07 09:00:00;50;14.399;38.188;5.67;246.189466795419
2005-06-07 09:00:00;1;21.794;38.036;5.37;233.613539365229
2005-06-15 09:00:00;50;15.067;38.188;5.77;250.567742187792
2005-06-15 09:00:00;1;20.212;38.215;5.31;230.874219375143
2005-06-21 09:00:00;50;NA;NA;5.8;NA
2005-06-21 09:00:00;1;NA;NA;5.2;NA
2005-06-28 09:00:00;50;14.93;38.204;5.61;243.609343189976
2005-06-28 09:00:00;1;24.335;38.209;5.04;219.38844493254
2005-07-06 09:00:00;50;14.097;38.23;5.29;229.667987259107
2005-07-06 09:00:00;1;23.017;38.24;5.09;221.47505325974
2005-07-12 09:00:00;50;14.063;38.234;5.43;235.743754409338
2005-07-12 09:00:00;1;23.217;38.238;5.09;221.488054837591
2005-07-19 09:00:00;50;14.33;38.215;5.49;238.365572790378
2005-07-19 09:00:00;1;24.584;38.253;4.92;214.173755450946
2005-07-26 09:00:00;50;15.218;38.17;6;260.56790961365
2005-07-26 09:00:00;1;25.418;38.379;4.86;211.595242023274
2005-08-02 09:00:00;50;15.717;38.162;5.87;254.952215413905
2005-08-02 09:00:00;1;26.179;38.414;4.76;207.284448821776
2005-08-09 09:00:00;50;14.442;38.16;5.67;246.196917823882
2005-08-09 09:00:00;1;24.908;38.476;4.84;210.67695310429
2005-08-16 09:00:00;50;16.093;38.13;6.1;264.970807898074
2005-08-16 09:00:00;1;24.265;38.46;4.83;210.203925209269
2005-08-23 09:00:00;50;15.397;38.123;5.88;255.375704723883
2005-08-23 09:00:00;1;24.026;38.408;4.85;211.067603950476
2005-08-30 09:00:00;50;15.552;38.129;5.89;255.817721662974
