"datetime";"temp_eol_c";"sal_eol_psu";"oxy_umol_kg";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"Hour";"NB_OBS_DAY"
2021-05-13;16.2800166666667;37.6434166666667;258.607035749088;"2021";"05";"2021-05";"2021-05-13";31;"09:00:00";2
2021-05-13;16.6498666666667;37.7565;258.806189033159;"2021";"05";"2021-05";"2021-05-13";31;"16:00:00";2
2021-05-14;16.5875;37.8782833333333;257.801738759697;"2021";"05";"2021-05";"2021-05-14";31;"09:00:00";2
2021-05-14;16.8171;37.9007333333333;260.856168231732;"2021";"05";"2021-05";"2021-05-14";31;"16:00:00";2
2021-05-15;16.8277;37.8909666666667;256.868977477683;"2021";"05";"2021-05";"2021-05-15";31;"09:00:00";2
2021-05-15;16.8387333333333;37.866;258.34067170645;"2021";"05";"2021-05";"2021-05-15";31;"16:00:00";2
2021-05-16;16.8094;37.8623;257.188786230137;"2021";"05";"2021-05";"2021-05-16";31;"09:00:00";2
2021-05-16;16.8200333333333;37.80155;256.103530715413;"2021";"05";"2021-05";"2021-05-16";31;"16:00:00";2
2021-05-17;16.5167333333333;37.8496;256.062390756099;"2021";"05";"2021-05";"2021-05-17";31;"09:00:00";2
2021-05-17;16.6039333333333;37.8635;258.885296477842;"2021";"05";"2021-05";"2021-05-17";31;"16:00:00";2
2021-05-18;16.2145666666667;37.8905833333333;257.206479217963;"2021";"05";"2021-05";"2021-05-18";31;"09:00:00";2
2021-05-18;16.4605;37.928;258.469914487013;"2021";"05";"2021-05";"2021-05-18";31;"16:00:00";2
2021-05-19;16.3968166666667;37.89485;256.575917688835;"2021";"05";"2021-05";"2021-05-19";31;"09:00:00";2
2021-05-19;17.0262;37.8242833333333;252.922460676684;"2021";"05";"2021-05";"2021-05-19";31;"16:00:00";2
2021-05-20;16.73985;37.79135;255.309340797891;"2021";"05";"2021-05";"2021-05-20";31;"09:00:00";2
2021-05-20;17.4616833333333;37.8047166666667;250.992729224081;"2021";"05";"2021-05";"2021-05-20";31;"16:00:00";2
2021-05-21;17.3144333333333;37.757;256.042640577674;"2021";"05";"2021-05";"2021-05-21";31;"09:00:00";2
2021-05-21;17.5017666666667;37.7200666666667;256.600533807469;"2021";"05";"2021-05";"2021-05-21";31;"16:00:00";2
2021-05-22;17.5329833333333;37.6637666666667;253.375557755351;"2021";"05";"2021-05";"2021-05-22";31;"09:00:00";2
2021-05-22;17.4298333333333;37.6775833333333;248.168452994908;"2021";"05";"2021-05";"2021-05-22";31;"16:00:00";2
2021-05-23;17.28155;37.4745166666667;252.407605084011;"2021";"05";"2021-05";"2021-05-23";31;"09:00:00";2
2021-05-23;17.4568666666667;37.5316833333333;257.525941724422;"2021";"05";"2021-05";"2021-05-23";31;"16:00:00";2
2021-05-24;16.9156;37.6873666666667;251.516539578517;"2021";"05";"2021-05";"2021-05-24";31;"09:00:00";2
2021-05-24;17.0642;37.6737333333333;254.008560494205;"2021";"05";"2021-05";"2021-05-24";31;"16:00:00";2
2021-05-25;16.9545833333333;37.6499666666667;255.166181359443;"2021";"05";"2021-05";"2021-05-25";31;"09:00:00";2
2021-05-25;17.1022333333333;37.7047666666667;257.000522749547;"2021";"05";"2021-05";"2021-05-25";31;"16:00:00";2
2021-05-26;16.8258;37.74135;232.629945292232;"2021";"05";"2021-05";"2021-05-26";31;"09:00:00";2
2021-05-26;17.6568333333333;37.7507333333333;227.52344826949;"2021";"05";"2021-05";"2021-05-26";31;"16:00:00";2
2021-05-27;17.9283166666667;37.7306166666667;222.767625163696;"2021";"05";"2021-05";"2021-05-27";31;"09:00:00";2
2021-05-27;18.3213;37.73725;230.171070618136;"2021";"05";"2021-05";"2021-05-27";31;"16:00:00";2
2021-05-28;18.0826833333333;37.7087333333333;227.032675383637;"2021";"05";"2021-05";"2021-05-28";31;"09:00:00";2
2021-05-28;18.7172;37.72405;232.804809807965;"2021";"05";"2021-05";"2021-05-28";31;"16:00:00";2
2021-05-29;18.5238166666667;37.7228;233.909683916876;"2021";"05";"2021-05";"2021-05-29";31;"09:00:00";2
2021-05-29;18.9249833333333;37.7293833333333;232.250624745762;"2021";"05";"2021-05";"2021-05-29";31;"16:00:00";2
2021-05-30;18.8637833333333;37.7373833333333;233.028451967059;"2021";"05";"2021-05";"2021-05-30";31;"09:00:00";2
2021-05-30;19.0711833333333;37.73125;231.440164351591;"2021";"05";"2021-05";"2021-05-30";31;"16:00:00";2
2021-05-31;18.3057666666667;37.7437333333333;235.052753634487;"2021";"05";"2021-05";"2021-05-31";31;"09:00:00";2
2021-05-31;18.2039833333333;37.7592666666667;233.080578892755;"2021";"05";"2021-05";"2021-05-31";31;"16:00:00";2
2021-06-01;18.37905;37.7192;232.26435358014;"2021";"06";"2021-06";"2021-06-01";30;"09:00:00";2
2021-06-01;18.92225;37.7390166666667;231.611199932346;"2021";"06";"2021-06";"2021-06-01";30;"16:00:00";2
2021-06-02;18.8302833333333;37.7153833333333;230.059195768057;"2021";"06";"2021-06";"2021-06-02";30;"09:00:00";2
2021-06-02;18.8656833333333;37.71715;231.54650542967;"2021";"06";"2021-06";"2021-06-02";30;"16:00:00";2
2021-06-03;18.74325;37.5538166666667;228.154158966988;"2021";"06";"2021-06";"2021-06-03";30;"09:00:00";2
2021-06-03;19.10315;37.5705833333333;227.940003342656;"2021";"06";"2021-06";"2021-06-03";30;"16:00:00";2
2021-06-04;19.33665;37.5697833333333;224.155467967471;"2021";"06";"2021-06";"2021-06-04";30;"09:00:00";2
2021-06-04;19.7737666666667;37.5656333333333;234.308542094964;"2021";"06";"2021-06";"2021-06-04";30;"16:00:00";2
2021-06-05;19.3009666666667;37.5974333333333;231.636182202253;"2021";"06";"2021-06";"2021-06-05";30;"09:00:00";2
2021-06-05;20.0267833333333;37.6754833333333;225.714563002609;"2021";"06";"2021-06";"2021-06-05";30;"16:00:00";2
2021-06-06;20.3240666666667;37.6220333333333;226.690945595825;"2021";"06";"2021-06";"2021-06-06";30;"09:00:00";2
2021-06-06;20.1495333333333;37.6396833333333;227.068865278929;"2021";"06";"2021-06";"2021-06-06";30;"16:00:00";2
2021-06-07;20.3012833333333;37.6412;228.273972895241;"2021";"06";"2021-06";"2021-06-07";30;"09:00:00";2
2021-06-07;21.5094833333333;37.6589;227.909814935577;"2021";"06";"2021-06";"2021-06-07";30;"16:00:00";2
